"hpl_id";"linje";"lan_kod";"lan";"kommun_kod";"kommun";"tatort_pop";"tatort_kod";"tatort";"y_wgs84";"x_wgs84";"x_sweref99tm";"y_sweref99tm"
780513;"844";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,9119795259092;17,5312819125006;641541,025048615;6644314,57613854
780514;"106";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,9141233758938;17,394247516744;633872,15705044;6644268,15263694
780518;"844";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,9151654204786;17,5203620781699;640917,113215292;6644645,90821392
780522;"844";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,9183495242234;17,5088142617218;640258,226120735;6644975,81397787
780523;"106";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,9195137339551;17,4006203870153;634206,619426928;6644881,09993191
780525;"806, 809";"03";"Uppsala";"0380";"Uppsala";741;"T0580";"Knutby";59,9070864463939;18,2611218489771;682358,659083591;6645555,70174229
780526;"806, 809";"03";"Uppsala";"0380";"Uppsala";741;"T0580";"Knutby";59,9089180319508;18,2640285428316;682511,054225967;6645767,52601561
780530;"118, 805, 811, 886";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,9188884665568;17,7581861375231;654192,037086382;6645590,47366874
780532;"844";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,9244347065927;17,4984849600658;639655,360517132;6645631,33605059
780534;"106";"03";"Uppsala";"0380";"Uppsala";NA;NA;NA;59,9271236726393;17,4075315294578;634562,052819453;6645742,2516376
